,brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,range_per_kWh,range_category
40,BMW,i4 eDrive40,190,81.3,Lithium-ion,216.0,430.0,174,515,5.6,131.0,CCS,1600.0,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2199/BMW-i4-eDrive40,6.334563345633456,Long
41,BMW,i4 xDrive40,200,81.3,Lithium-ion,216.0,600.0,183,490,5.1,131.0,CCS,1600.0,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2200/BMW-i4-xDrive40,6.027060270602706,Mid
42,BMW,i5 M60 xDrive Sedan (MY25),230,81.2,Lithium-ion,216.0,795.0,172,430,3.8,136.0,CCS,2000.0,490,5,AWD,E - Executive,5060,1900,1505,Sedan,https://ev-database.org/car/3114/BMW-i5-M60-xDrive-Sedan,5.295566502463054,Mid
43,BMW,i5 M60 xDrive Touring (MY25),230,81.2,Lithium-ion,216.0,795.0,179,425,3.9,136.0,CCS,2000.0,570,5,AWD,E - Executive,5060,1900,1505,Station/Estate,https://ev-database.org/car/3117/BMW-i5-M60-xDrive-Touring,5.233990147783251,Mid
44,BMW,i5 eDrive40 Sedan (MY25),193,81.2,Lithium-ion,216.0,400.0,159,480,6.0,136.0,CCS,1500.0,490,5,RWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3112/BMW-i5-eDrive40-Sedan,5.911330049261084,Mid
45,BMW,i5 eDrive40 Touring (MY25),193,81.2,Lithium-ion,216.0,400.0,165,465,6.1,136.0,CCS,1500.0,570,5,RWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3115/BMW-i5-eDrive40-Touring,5.726600985221674,Mid
46,BMW,i5 xDrive40 Sedan (MY25),215,81.2,Lithium-ion,216.0,590.0,167,465,5.4,136.0,CCS,2000.0,490,5,AWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3113/BMW-i5-xDrive40-Sedan,5.726600985221674,Mid
47,BMW,i5 xDrive40 Touring (MY25),215,81.2,Lithium-ion,216.0,590.0,174,450,5.5,136.0,CCS,2000.0,570,5,AWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3116/BMW-i5-xDrive40-Touring,5.541871921182266,Mid
48,BMW,i7 M70 xDrive,250,101.7,Lithium-ion,216.0,1100.0,208,490,3.7,159.0,CCS,0.0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1838/BMW-i7-M70-xDrive,4.818092428711898,Mid
49,BMW,i7 eDrive50,205,101.7,Lithium-ion,216.0,650.0,177,520,5.5,159.0,CCS,0.0,500,5,RWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1905/BMW-i7-eDrive50,5.11307767944936,Long
50,BMW,i7 xDrive60,240,101.7,Lithium-ion,216.0,745.0,172,510,4.7,159.0,CCS,2000.0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1676/BMW-i7-xDrive60,5.014749262536873,Long
51,BMW,iX M70 xDrive,250,108.9,Lithium-ion,216.0,1015.0,209,500,3.8,150.0,CCS,2500.0,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3111/BMW-iX-M70-xDrive,4.591368227731864,Mid
